Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person
MAX-AQ-000259,GYF4lfAjU3znCwgEAAAAU,,0,,,manual,MACBETH (2015),Movies Acquired,"LIONS GATE ENTERTAINMENT, INC.",Committed,8/17/21,,,No,Max Acquired,2021,,,11/3/23,0,Joe
Do not use 4089,GYfmuygH0zT2HMwEAAANb,,0,,,manual,MACHETE KILLS,Movies Acquired,OPEN ROAD,Committed,2/23/24,,,,HBO Acquired,2024,,,11/3/23,0,Joe
Do not use 5335,GYBNhzQ2I76sjwwEAAACt,GYBNhzQ2I76sjwwEAAACt,,,,title,MACHINE GUN PREACHER,Movies Acquired,RELATIVITY,Committed,,,,,HBO Acquired,2021,,,11/3/23,0,Joe
Do not use 3572,GYBNhzQ2I76sjwwEAAACt,GYBNhzQ2I76sjwwEAAACt,,,,title,MACHINE GUN PREACHER,Movies Acquired,RELATIVITY,Committed,3/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Joe
Do not use 1284,GX-IlUgib1sIdmgEAAABv,GX-IlUgib1sIdmgEAAABv,,,,title,MAD MAX: FURY ROAD,Movies Acquired,INTERCOMPANY,Committed,12/9/23,,,,HBO Acquired,2023,,,11/3/23,0,Joe
Do not use 2416,GYS_JbgXoqKitqQEAAAAM,GYS_JbgXoqKitqQEAAAAM,,,,title,MAD MONEY,Movies Acquired,LIONS GATE,Committed,2/1/25,,,,HBO Acquired,2025,,,11/3/23,0,Joe
Do not use 770,GVYD_fA4wbizCKRAJAAtd,,0,,,manual,MADAGASCAR 3: EUROPES MOST WANTED,Movies Acquired,3RD-PARTY,Committed,1/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Joe
Do not use 2114,GXfuUhgNp-ZWdkQEAAAbc,GXfuUhgNp-ZWdkQEAAAbc,,,,title,MADE,Movies Acquired,LIONS GATE,Committed,3/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Joe
MAX-AQ-000260,GXfuUhgNp-ZWdkQEAAAbc,GXfuUhgNp-ZWdkQEAAAbc,,,,title,MADE,Movies Acquired,"LIONS GATE ENTERTAINMENT, INC.",Committed,11/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Joe
Do not use 4896,GXfuUhgNp-ZWdkQEAAAbc,GXfuUhgNp-ZWdkQEAAAbc,,,,title,MADE,Movies Acquired,LIONS GATE,Committed,,,,,HBO Acquired,2020,,,11/3/23,0,Joe
MAX-AQ-000261,GYLfMkAKh7LyJwwEAAAXU,,0,,,manual,MADEA'S BIG HAPPY FAMILY (2011 FEATURE) 1W,Movies Acquired,"LIONS GATE ENTERTAINMENT, INC.",Committed,10/1/20,,,No,Max Acquired,2020,,,11/3/23,0,Joe
MAX-AQ-000262,GYLfMkAKh7LyJwwEAAAXU,,0,,,manual,MADEA'S BIG HAPPY FAMILY (2011 FEATURE) 2W,Movies Acquired,"LIONS GATE ENTERTAINMENT, INC.",Committed,4/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Joe
MAX-AQ-000263,GYGX9TAJY8sJfEQEAAAB3,,0,,,manual,MADEA'S WITNESS PROTECTION,Movies Acquired,"LIONS GATE ENTERTAINMENT, INC.",Committed,5/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Joe
MAX-AQ-002292,GYEfQUQW1XGrDwwEAAAAU,GYEfQUQW1XGrDwwEAAAAU,,,,title,MADELINE,Movies Acquired,SONY PICTURES TELEVISION INC.,Committed,4/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Joe
Do not use 4724,GXX-y4AbQeMIAIwEAAAGX,GXX-y4AbQeMIAIwEAAAGX,,,,title,MADISON,Movies Acquired,MGM,Committed,,,,,HBO Acquired,2019,,,11/3/23,0,Joe
Do not use 2627,GXX-y4AbQeMIAIwEAAAGX,GXX-y4AbQeMIAIwEAAAGX,,,,title,MADISON,Movies Acquired,MGM,Committed,10/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Joe
Do not use 2417,GYQk4sQmA6Lx-kQEAAAAC,,,,,manual,MAGGIE,Movies Acquired,LIONS GATE,Committed,3/1/25,,,,HBO Acquired,2025,,,11/3/23,0,Joe
MAX-AQ-004153,GZKxtQQuVdE6aKQEAAA_6,GZKxtQQuVdE6aKQEAAA_6,,,,title,MAGGIE'S PLAN,Movies Acquired,SONY PICTURES TELEVISION INC.,Committed,8/1/23,,,No,Max Acquired,2023,,,11/3/23,0,Joe
Do not use 3687,GXZuOCgXktThhmQEAAAHE,GXZuOCgXktThhmQEAAAHE,,,,title,MAGIC,Movies Acquired,SHOUT!,Committed,11/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Joe
