,Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person,search_title
7625,Do not use 3944,,,,,,,POLICE ACADEMY 3 BACK IN TRAINING,Movies Acquired,WARNER BROS.,Committed,8/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Mei-Cheng,POLICE ACADEMY
7631,Do not use 3945,,,,,,,POLICE ACADEMY 4 CITIZENS ON PATROL,Movies Acquired,WARNER BROS.,Committed,8/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Mei-Cheng,POLICE ACADEMY
7633,Do not use 3946,,,,,,,POLICE ACADEMY 5 ASSIGNMENT: MIAMI BEACH,Movies Acquired,WARNER BROS.,Committed,8/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Mei-Cheng,POLICE ACADEMY
7637,Do not use 5507,,,,,,,POLICE ACADEMY 6 CITY UNDER SIEGE,Movies Acquired,WB,Committed,,,,,HBO Acquired,2020,,,11/3/23,0,Mei-Cheng,POLICE ACADEMY
7643,Do not use 843,,,,,,,POLTERGEIST 2015,Movies Acquired,3RD-PARTY,Committed,9/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Mei-Cheng,POLTERGEIST 2015
7645,Do not use 1120,,,,,,,POPSTAR: NEVER STOP NEVER STOPPING (POPSTAR),Movies Acquired,3RD-PARTY,Committed,4/1/22,,,,HBO Acquired,2022,,,11/3/23,0,Mei-Cheng,NEVER STOP NEVER STOPPING
7646,Do not use 3197,,,,,,,PORTRAIT OF A LADY ON FIRE,Movies Acquired,NEON,Committed,4/1/25,,,,HBO Acquired,2025,,,11/3/23,0,Mei-Cheng,PORTRAIT OF
7647,Do not use 2939,,,,,,,POSSE: THE REVENGE OF JESSIE LEE,Movies Acquired,MGM,Committed,11/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Mei-Cheng,POSSE: THE
7648,Do not use 1989,,,,,,,POST GRAD,Movies Acquired,FOX,Committed,1/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Mei-Cheng,POST GRAD
7649,Do not use 3862,,,,,,,PRANCER: A CHRISTMAS TALE,Movies Acquired,UNIVERSAL,Committed,12/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Mei-Cheng,A CHRISTMAS TALE
7655,Do not use 4839,,,,,,,"PRAY, OBEY, KILL (EPS 1-5)",Movies Acquired,INTERCOM,Committed,4/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Mei-Cheng,"PRAY, OBEY,"
7657,Do not use 2056,,,,,,,PRIDE,Movies Acquired,LIONS GATE,Committed,4/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Mei-Cheng,PRIDE
7663,Do not use 3890,,,,,,,PRINCE OF THE CITY,Movies Acquired,WARNER BROS.,Committed,2/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Mei-Cheng,PRINCE OF
7664,MAX-AQ-002311,,,,,,,"PRINCE OF TIDES, THE",Movies Acquired,SONY PICTURES TELEVISION INC.,Committed,7/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Mei-Cheng,PRINCE OF TIDES
7665,Do not use 4693,,,,,,,PRINCESS CUT (2020 LATINX SHORT FILM COMPETITION WINNER),Movies Acquired,3RD PARTY,Committed,4/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Mei-Cheng,PRINCESS CUT
7668,MAX-AQ-000285,,,,,,,"PRODUCERS, THE",Movies Acquired,"LIONS GATE ENTERTAINMENT, INC.",Committed,1/1/21,,,No,Max Acquired,2021,,,11/3/23,0,Mei-Cheng,PRODUCERS
