,Cost_ID,TITLE_ID,TITLE,SEASON_LEVEL,SEASON_NUMBER,SEASON_FANOUT,MAPPING_TYPE,SOURCE_TITLE_NAME,CONTENT_TYPE,STUDIO,STATUS,AVAIL,REMOVAL_DATE,PROJECT_ID,KIDS_FAMILY,HUB,AIR_YEAR,MAX_SERIES_ID,MAX_MAPPING_TYPE,LOAD_TIMESTAMP,MAPPING_TYPE_TEMP,Assigned Person,search_title
5129,Do not use 455,,,,,,,HACKERVILLE (EPS 1-6),Movies Acquired,INTERCOMPANY,Committed,7/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Tiffany,HACKERVILLE 
5130,Do not use 4836,,,,,,,HACKERVILLE (EPS 1-6),Movies Acquired,INTERCOM,Committed,7/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Tiffany,HACKERVILLE
5133,Do not use 4375,,,,,,,HAIL SATAN?,Movies Acquired,MAGNOLIA,Committed,7/1/26,,,,HBO Acquired,2026,,,11/3/23,0,Tiffany,HAIL SATAN?
5134,Do not use 4233,,,,,,,HAIL SATAN?,Movies Acquired,MAGNOLIA,Committed,1/1/24,,,,HBO Acquired,2024,,,11/3/23,0,Tiffany,HAIL SATAN?
5135,Do not use 1021,,,,,,,"HAIL, CAESAR!",Movies Acquired,3RD-PARTY,Committed,3/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Tiffany,"HAIL, CAESAR!"
5138,Do not use 5825,,,,,,,HALF BROTHERS - 0646678_12-148,Movies Acquired,UNI,Committed,8/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Tiffany,HALF BROTHERS
5141,Do not use 4675,,,,,,,HALFWORLDS S1 (EPS 1 - 8),Movies Acquired,INTERCOM,Committed,11/1/17,,,,HBO Acquired,2017,,,11/3/23,0,Tiffany,HALFWORLDS
5142,Do not use 421,,,,,,,HALFWORLDS S1 (EPS 1 - 8),Movies Acquired,INTERCOMPANY,Committed,11/1/17,,,,HBO Acquired,2017,,,11/3/23,0,Tiffany,HALFWORLDS
5143,Do not use 422,,,,,,,HALFWORLDS S2 (EPS 9 - 16),Movies Acquired,INTERCOMPANY,Committed,11/1/17,,,,HBO Acquired,2017,,,11/3/23,0,Tiffany,HALFWORLDS
5144,Do not use 4676,,,,,,,HALFWORLDS S2 (EPS 9 - 16),Movies Acquired,INTERCOM,Committed,11/1/17,,,,HBO Acquired,2017,,,11/3/23,0,Tiffany,HALFWORLDS
5149,Do not use 3159,,,,,,,HALLOWEEN H2O: 20 YEARS LATER,Movies Acquired,MIRAMAX,Committed,10/1/25,,,,HBO Acquired,2025,,,11/3/23,0,Tiffany,HALLOWEEN H2O
5151,Do not use 3770,,,,,,,HALLOWEEN III SEASON OF THE WITCH,Movies Acquired,UNIVERSAL,Committed,6/1/19,,,,HBO Acquired,2019,,,11/3/23,0,Tiffany,SEASON OF THE WITCH
5154,Do not use 3160,,,,,,,HALLOWEEN: RESURRECTION,Movies Acquired,MIRAMAX,Committed,10/1/25,,,,HBO Acquired,2025,,,11/3/23,0,Tiffany,"HALLOWEEN, RESURRECTION"
5155,Do not use 3158,,,,,,,HALLOWEEN: THE CURSE OF MICHAEL MYERS,Movies Acquired,MIRAMAX,Committed,10/1/25,,,,HBO Acquired,2025,,,11/3/23,0,Tiffany,CURSE OF MICHAEL MYERS
5156,Do not use 2483,,,,,,,HANDS OF STONE,Movies Acquired,LIONS GATE,Committed,1/1/27,,,,HBO Acquired,2027,,,11/3/23,0,Tiffany,HANDS OF STONE
5157,Do not use 2898,,,,,,,HANG EM HIGH,Movies Acquired,MGM,Committed,7/1/23,,,,HBO Acquired,2023,,,11/3/23,0,Tiffany,HANG EM HIGH
5164,MAX-AQ-000229,,,,,,,HAPPILY N'EVER AFTER 2: SNOW WHITE,Movies Acquired,"LIONS GATE ENTERTAINMENT, INC.",Committed,5/1/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,HAPPILY N'EVER
5165,Do not use 4902,,,,,,,HAPPILY NEVER AFTER,Movies Acquired,LIONS GATE,Committed,,,,,HBO Acquired,2021,,,11/3/23,0,Tiffany,HAPPILY NEVER AFTER
5166,Do not use 2171,,,,,,,HAPPILY NEVER AFTER,Movies Acquired,LIONS GATE,Committed,1/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Tiffany,HAPPILY NEVER AFTER
5167,Do not use 2172,,,,,,,HAPPILY NEVER AFTER 2: SNOW WHITE,Movies Acquired,LIONS GATE,Committed,1/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Tiffany,HAPPILY NEVER
5168,Do not use 5171,,,,,,,HAPPILY NEVER AFTER 2: SNOW WHITE,Movies Acquired,LIONS GATE,Committed,,,,,HBO Acquired,2021,,,11/3/23,0,Tiffany,HAPPILY NEVER
5181,Do not use 4666,,,,,,,HARD S1 (EPS 1-6),Movies Acquired,INTERCOM,Committed,5/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Tiffany,HARD
5182,Do not use 511,,,,,,,HARD S1 (EPS 1-6),Movies Acquired,INTERCOMPANY,Committed,5/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Tiffany,HARD
5183,Do not use 4619,,,,,,,HARD S2 (EPS 7-12),Movies Acquired,INTERCOM,Committed,3/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Tiffany,HARD
5184,Do not use 528,,,,,,,HARD S2 (EPS 7-12),Movies Acquired,INTERCOMPANY,Committed,3/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Tiffany,HARD
5185,Do not use 4552,,,,,,,HARD S3 (EPS 13-18),Movies Acquired,INTERCOM,Committed,8/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Tiffany,HARD
5186,Do not use 529,,,,,,,HARD S3 (EPS 13-18),Movies Acquired,INTERCOMPANY,Committed,8/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Tiffany,HARD
5191,Do not use 730,,,,,,,HARINA (AKA FLOUR),Movies Acquired,3RD PARTY,Committed,10/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Tiffany,HARINA  
5199,Do not use 5959,,,,,,,HARRIET - 0642818_12-148,Movies Acquired,UNI,Committed,7/1/20,,,,HBO Acquired,2020,,,11/3/23,0,Tiffany,HARRIET
5205,Do not use 5144,,,,,,,HARTS WAR,Movies Acquired,MGM,Committed,,,,,HBO Acquired,2021,,,11/3/23,0,Tiffany,HARTS WAR
5206,Do not use 2789,,,,,,,HARTS WAR,Movies Acquired,MGM,Committed,9/1/21,,,,HBO Acquired,2021,,,11/3/23,0,Tiffany,HARTS WAR
5207,MAX-AQ-000125,,,,,,,"HAUNTING, THE",Movies Acquired,PARAMOUNT PICTURES,Committed,,,,No,Max Acquired,1900,,,11/3/23,0,Tiffany,HAUNTING
5218,MAX-AQ-000230,,,,,,,HAZLO COMO HOMBRE,Movies Acquired,"LIONS GATE ENTERTAINMENT, INC.",Committed,11/13/22,,,No,Max Acquired,2022,,,11/3/23,0,Tiffany,HAZLO COMO HOMBRE
5219,HBO-OP-000784,,,,,,,HBO Development Committed,"Development, Overall Deals, Other",,Committed,,,WCF-HBO Development Committed,No,HBO OP,,,,11/3/23,0,Tiffany,
5220,HBO-OP-000785,,,,,,,HBO Development Uncommitted,"Development, Overall Deals, Other",,Uncommitted,,,WCF-HBO Development Uncommitted,No,HBO OP,,,,11/3/23,0,Tiffany,
5221,HBO-OP-000775,,,,,,,HBO Films Development,"Development, Overall Deals, Other",,Committed,,,WCF-HBO Films Development,No,HBO OP,,,,11/3/23,0,Tiffany,
5222,MAX-OP-000697,,,,,,,HBO Max Scripted Development ,"Development, Overall Deals, Other",,Committed,,,2023TOTALDEV,No,Max OP,,,,11/3/23,0,Tiffany,
5223,HBO-OP-000778,,,,,,,HBO Mini Series Development,"Development, Overall Deals, Other",,Committed,,,WCF-HBO Mini Series Development,No,HBO OP,,,,11/3/23,0,Tiffany,
